Image ID,Pothole,Number of Potholes,Level,
pothole_image_1299,1,3,B,
pothole_image_10064,1,1,A,
pothole_image_10079,1,1,A,
pothole_image_10084,1,1,A,
pothole_image_10087,1,2,A,
pothole_image_10110,1,1,A,
pothole_image_10119,1,1,A,
pothole_image_10120,1,1,A,
pothole_image_10135,1,1,A,
pothole_image_10139,1,1,A,
pothole_image_10154,1,1,A,
pothole_image_10156,1,1,A,
pothole_image_10163,1,1,A,
pothole_image_10169,1,1,A,
pothole_image_10182,1,1,A,
pothole_image_10198,1,1,A,
pothole_image_10212,1,1,A,
pothole_image_10225,1,1,A,
pothole_image_10226,1,1,A,
pothole_image_10236,1,1,A,
pothole_image_10238,1,1,A,
pothole_image_10244,1,1,A,
pothole_image_10272,1,1,A,
pothole_image_10273,1,1,A,
pothole_image_10274,1,1,A,
pothole_image_10285,1,1,A,
pothole_image_10286,1,2,A,
pothole_image_10287,1,1,A,
pothole_image_10288,1,1,A,
pothole_image_10290,1,3,A,
pothole_image_10291,1,3,A,
pothole_image_10292,1,3,A,
pothole_image_10293,1,3,A,
pothole_image_10295,1,4,A,
pothole_image_10296,1,3,A,
pothole_image_10297,1,1,A,
pothole_image_10298,1,1,A,
pothole_image_10299,1,1,A,
pothole_image_10301,1,1,A,
pothole_image_10302,1,1,A,
pothole_image_10303,1,1,A,
pothole_image_10304,1,1,A,
pothole_image_10305,1,1,A,
pothole_image_10307,1,1,A,
pothole_image_10308,1,1,A,
pothole_image_10309,1,1,A,
pothole_image_10310,1,1,A,
pothole_image_10313,1,1,A,
pothole_image_10314,1,1,A,
pothole_image_10315,1,1,A,
pothole_image_10316,1,1,A,
pothole_image_10317,1,1,A,
pothole_image_10318,1,1,A,
pothole_image_10320,1,1,A,
pothole_image_10321,1,1,A,
pothole_image_10322,1,1,A,
pothole_image_10324,1,1,A,
pothole_image_10326,1,1,A,
pothole_image_10328,1,1,A,
pothole_image_10341,1,1,A,
pothole_image_10350,1,1,A,
pothole_image_10364,1,1,A,
pothole_image_10376,1,1,A,
pothole_image_10388,1,2,A,
pothole_image_10394,1,1,A,
pothole_image_10400,1,2,A,
pothole_image_10413,1,2,A,
pothole_image_10423,1,1,A,
pothole_image_10425,1,1,A,
pothole_image_10432,1,1,A,
pothole_image_10443,1,1,A,
pothole_image_10444,1,1,A,
pothole_image_10446,1,1,A,
pothole_image_10452,1,1,A,
